Sold_to,Ship_to,Location,Product_Hier,Ship_to_Country,Packaging,Date,Invoiced_Quantity,Plan_Quantity,Order_Quantity,Monday_number,Logic,Plant,customer_id
65,65,ESCUZAR,SL,SPAIN,A,2018-01-01 00:00:00+00:00,50.46,0.0,0.0,0,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-02-01 00:00:00+00:00,49.82,0.0,0.0,0,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-03-01 00:00:00+00:00,23.78,0.0,0.0,0,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-09-01 00:00:00+00:00,24.72,0.0,0.0,0,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-10-01 00:00:00+00:00,49.86,0.0,52.0,0,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-01-01 00:00:00+00:00,50.46,0.0,0.0,1,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-02-01 00:00:00+00:00,49.82,0.0,0.0,1,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-03-01 00:00:00+00:00,23.78,0.0,0.0,1,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-09-01 00:00:00+00:00,24.72,0.0,0.0,1,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-10-01 00:00:00+00:00,49.86,0.0,52.0,1,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-01-01 00:00:00+00:00,50.46,0.0,0.0,2,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-02-01 00:00:00+00:00,49.82,0.0,0.0,2,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-03-01 00:00:00+00:00,23.78,0.0,0.0,2,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-09-01 00:00:00+00:00,24.72,0.0,0.0,2,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-10-01 00:00:00+00:00,49.86,0.0,52.0,2,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-01-01 00:00:00+00:00,50.46,0.0,0.0,3,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-02-01 00:00:00+00:00,49.82,0.0,0.0,3,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-03-01 00:00:00+00:00,23.78,0.0,0.0,3,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-09-01 00:00:00+00:00,24.72,0.0,0.0,3,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-10-01 00:00:00+00:00,49.86,0.0,26.0,3,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-01-01 00:00:00+00:00,50.46,0.0,0.0,4,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-02-01 00:00:00+00:00,49.82,0.0,0.0,4,assume plan,A,0
65,65,ESCUZAR,SL,SPAIN,A,2018-03-01 00:00:00+00:00,23.78,0.0,0.0,4,assume plan,A,0
